2015-05-06 17:09:14,496 INFO c.b.t.t.m.deadlock.TestThreadLocked [main] start
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [main] Starting Thread-1 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [main] Starting Thread-2 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Running Thread-1 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 100 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [main] Starting Thread-3 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Running Thread-2 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [main] Starting Thread-4 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 100 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Running Thread-3 
2015-05-06 17:09:14,497 INFO c.b.t.t.m.deadlock.TestThreadLocked [main] end
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 100 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Running Thread-4 
2015-05-06 17:09:14,497 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 100 
2015-05-06 17:09:14,498 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 99 
2015-05-06 17:09:14,498 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 99 
2015-05-06 17:09:14,498 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 99 
2015-05-06 17:09:14,498 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 99 
2015-05-06 17:09:14,499 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 98 
